cloudCover,day,dewPoint,humidity,mjd,month,moonPhase,ozone,precipAccumulation,precipIntensity,precipProbability,precipType,pressure,sunriseTime,sunsetTime,temperatureHigh,temperatureLow,time,uvIndex,visibility,windBearing,windGust,windSpeed,year
0.82,1,22.76,0.8,39856.0,1,0.03,,,0.004,1.0,snow,1023.59,-63200329,-63166859,32.93,26.09,-63226800,1,3.539,221,,3.0,1968
0.24,2,9.36,0.59,39857.0,1,0.07,,0.2,0.0011,1.0,snow,1023.58,-63113920,-63080411,27.69,5.98,-63140400,2,8.075,317,,11.79,1968
0.37,3,2.56,0.59,39858.0,1,0.11,,,0.0,0.0,,1033.49,-63027514,-62993962,21.68,18.0,-63054000,2,9.43,33,,6.18,1968
1.0,4,25.29,0.85,39859.0,1,0.14,,,0.001,1.0,snow,1023.46,-62941110,-62907512,34.15,30.54,-62967600,1,3.794,273,,6.0,1968
0.75,5,23.89,0.77,39860.0,1,0.17,,,0.0,0.0,,1011.42,-62854708,-62821060,33.98,12.92,-62881200,1,5.088,274,,9.81,1968
0.03,6,2.3,0.53,39861.0,1,0.2,,,0.0,0.0,,1026.93,-62768309,-62734606,21.0,12.9,-62794800,2,10.0,291,,14.09,1968
0.64,7,9.37,0.61,39862.0,1,0.23,,0.34,0.0012,1.0,snow,1029.3,-62681911,-62648151,28.39,24.37,-62708400,1,6.405,255,,6.66,1968
0.43,8,9.35,0.63,39863.0,1,0.26,,0.54,0.0019,1.0,snow,1020.64,-62595516,-62561694,26.29,7.94,-62622000,2,7.526,314,,17.18,1968
0.07,9,-7.8,0.47,39864.0,1,0.29,,,0.0,0.0,,1035.85,-62509123,-62475236,12.66,0.45,-62535600,2,10.0,310,,15.81,1968
0.69,10,-10.07,0.45,39865.0,1,0.32,,0.24,0.0005,1.0,snow,1034.9,-62422732,-62388777,13.5,3.08,-62449200,2,6.946,308,,7.15,1968
0.67,11,0.61,0.64,39866.0,1,0.36,,,0.0,0.0,,1030.52,-62336344,-62302316,17.34,5.05,-62362800,2,8.156,352,,10.34,1968
0.16,12,-5.63,0.5,39867.0,1,0.39,,,0.0,0.0,,1034.72,-62249958,-62215855,15.79,2.8,-62276400,2,9.747,1,,12.24,1968
0.26,13,-6.82,0.42,39868.0,1,0.42,,,0.0,0.0,,1037.69,-62163573,-62129392,23.04,10.35,-62190000,2,9.763,354,,11.93,1968
0.54,14,6.2,0.49,39869.0,1,0.45,,,0.0,0.0,,1036.33,-62077191,-62042928,34.42,28.37,-62103600,2,9.419,35,,8.36,1968
0.96,15,30.47,0.84,39870.0,1,0.48,,,0.0131,1.0,rain,1015.67,-61990812,-61956463,42.98,30.28,-62017200,2,6.112,71,,16.77,1968
0.8,16,25.95,0.8,39871.0,1,0.51,,,0.0,0.0,,997.01,-61904434,-61869997,32.52,12.05,-61930800,2,6.504,236,,13.8,1968
0.29,17,0.88,0.46,39872.0,1,0.55,,,0.0,0.0,,1017.21,-61818058,-61783530,21.32,15.72,-61844400,2,10.0,317,,16.01,1968
